Node Number	LOC_DEFX ()
1	2.6197e-004
2	1.2313e-003
3	1.7973e-003
4	2.3703e-003
5	2.3544e-003
6	3.7039e-003
7	3.9439e-003
8	4.7981e-003
9	5.2499e-003
10	6.5183e-003
11	7.1663e-003
12	7.5819e-003
13	7.9767e-003
14	8.1166e-003
15	9.0704e-003
16	9.9356e-003
17	1.0336e-002
18	1.1073e-002
19	1.1484e-002
20	1.2117e-002
21	1.3119e-002
22	1.3257e-002
23	1.3198e-002
24	1.4703e-002
25	1.4263e-002
26	1.5232e-002
27	1.5375e-002
28	1.5759e-002
29	1.5451e-002
30	1.6234e-002
31	1.752e-002
32	1.7898e-002
33	1.8318e-002
34	1.8387e-002
35	1.9405e-002
36	1.9544e-002
37	1.8884e-002
38	1.8709e-002
39	1.8598e-002
40	1.8789e-002
41	1.802e-002
42	1.7685e-002
43	1.7139e-002
44	1.6509e-002
45	1.5888e-002
46	1.503e-002
47	1.3963e-002
48	1.3776e-002
49	1.3001e-002
50	1.2272e-002
51	1.1912e-002
52	1.1885e-002
53	1.1409e-002
54	1.0985e-002
55	1.0874e-002
56	1.0778e-002
57	1.0798e-002
58	1.0594e-002
59	1.0619e-002
60	1.0468e-002
61	1.0481e-002
62	1.0458e-002
63	1.0506e-002
64	1.0521e-002
65	1.0615e-002
66	1.0702e-002
67	1.0798e-002
68	1.0904e-002
69	1.1012e-002
70	1.1128e-002
71	1.1231e-002
72	1.1318e-002
73	1.1326e-002
74	1.1376e-002
75	1.1501e-002
76	1.1651e-002
77	1.1789e-002
78	1.194e-002
79	1.2085e-002
80	1.2235e-002
81	1.2383e-002
82	1.2533e-002
83	1.2682e-002
84	1.2832e-002
85	1.2982e-002
86	1.3131e-002
87	1.3281e-002
88	1.3431e-002
89	1.3581e-002
90	1.373e-002
91	1.3881e-002
92	1.4029e-002
93	1.418e-002
94	1.4328e-002
95	1.4479e-002
96	1.4627e-002
97	1.478e-002
98	1.4928e-002
99	1.508e-002
100	1.5227e-002
101	1.2626e-004
102	1.2112e-003
103	1.7348e-003
104	2.4709e-003
105	3.5325e-003
106	3.4644e-003
107	4.3021e-003
108	5.0428e-003
109	5.1722e-003
110	6.9211e-003
111	7.2726e-003
112	7.7027e-003
113	8.2394e-003
114	9.2197e-003
115	9.8455e-003
116	9.8953e-003
117	1.0776e-002
118	1.1015e-002
119	1.1655e-002
120	1.2462e-002
121	1.3162e-002
122	1.335e-002
123	1.3869e-002
124	1.3996e-002
125	1.5002e-002
126	1.5602e-002
127	1.5575e-002
128	1.5433e-002
129	1.6455e-002
130	1.7615e-002
131	1.7682e-002
132	1.8403e-002
133	1.8347e-002
134	1.9417e-002
135	1.9089e-002
136	1.9548e-002
137	1.858e-002
138	1.8739e-002
139	1.8887e-002
140	1.8036e-002
141	1.7701e-002
142	1.702e-002
143	1.6424e-002
144	1.5865e-002
145	1.5131e-002
146	1.3846e-002
147	1.3691e-002
148	1.2914e-002
149	1.2211e-002
150	1.2196e-002
151	1.1793e-002
152	1.1384e-002
153	1.128e-002
154	1.0908e-002
155	1.0818e-002
156	1.0682e-002
157	1.068e-002
158	1.0429e-002
159	1.0428e-002
160	1.0225e-002
161	1.0299e-002
162	1.0277e-002
163	1.0337e-002
164	1.0408e-002
165	1.0433e-002
166	1.0559e-002
167	1.0615e-002
168	1.0725e-002
169	1.0784e-002
170	1.0897e-002
171	1.0981e-002
172	1.1093e-002
173	1.1216e-002
174	1.1349e-002
175	1.1493e-002
176	1.164e-002
177	1.1788e-002
178	1.1937e-002
179	1.2085e-002
180	1.2235e-002
181	1.2384e-002
182	1.2534e-002
183	1.2683e-002
184	1.2833e-002
185	1.2982e-002
186	1.3132e-002
187	1.3282e-002
188	1.3431e-002
189	1.3582e-002
190	1.3731e-002
191	1.3881e-002
192	1.403e-002
193	1.4181e-002
194	1.4329e-002
195	1.448e-002
196	1.4628e-002
197	1.4781e-002
198	1.4928e-002
199	1.5083e-002
200	1.5229e-002
201	2.6732e-004
202	9.6942e-004
203	1.8068e-003
204	2.4828e-003
205	3.6683e-003
206	3.7435e-003
207	4.6729e-003
208	5.1279e-003
209	5.908e-003
210	7.0747e-003
211	7.2861e-003
212	7.966e-003
213	8.437e-003
214	9.24e-003
215	9.9438e-003
216	1.0156e-002
217	1.1086e-002
218	1.1636e-002
219	1.2043e-002
220	1.3349e-002
221	1.3364e-002
222	1.3924e-002
223	1.4087e-002
224	1.5043e-002
225	1.5581e-002
226	1.6015e-002
227	1.6655e-002
228	1.6745e-002
229	1.7702e-002
230	1.8372e-002
231	1.8394e-002
232	1.9451e-002
233	1.9205e-002
234	1.928e-002
235	1.943e-002
236	1.8763e-002
237	1.832e-002
238	1.8126e-002
239	1.7065e-002
240	1.7059e-002
241	1.6341e-002
242	1.5528e-002
243	1.455e-002
244	1.3826e-002
245	1.3029e-002
246	1.2794e-002
247	1.205e-002
248	1.2029e-002
249	1.1714e-002
250	1.1697e-002
251	1.124e-002
252	1.1085e-002
253	1.1135e-002
254	1.0787e-002
255	1.0541e-002
256	1.0479e-002
257	1.0302e-002
258	1.0297e-002
259	1.03e-002
260	1.0107e-002
261	1.0142e-002
262	1.0178e-002
263	1.0216e-002
264	1.023e-002
265	1.0289e-002
266	1.0402e-002
267	1.0464e-002
268	1.0587e-002
269	1.0639e-002
270	1.0771e-002
271	1.0844e-002
272	1.104e-002
273	1.1191e-002
274	1.1346e-002
275	1.1492e-002
276	1.1643e-002
277	1.179e-002
278	1.1939e-002
279	1.2087e-002
280	1.2236e-002
281	1.2385e-002
282	1.2534e-002
283	1.2683e-002
284	1.2833e-002
285	1.2983e-002
286	1.3132e-002
287	1.3282e-002
288	1.3432e-002
289	1.3582e-002
290	1.3731e-002
291	1.3882e-002
292	1.4031e-002
293	1.4181e-002
294	1.4329e-002
295	1.448e-002
296	1.4628e-002
297	1.4781e-002
298	1.4928e-002
299	1.5082e-002
300	1.5228e-002
301	7.7861e-005
302	1.7635e-003
303	1.776e-003
304	2.4589e-003
305	3.5826e-003
306	3.7735e-003
307	4.6445e-003
308	5.1744e-003
309	5.887e-003
310	7.2849e-003
311	7.55e-003
312	7.9207e-003
313	8.3557e-003
314	9.5508e-003
315	1.021e-002
316	1.0962e-002
317	1.1558e-002
318	1.2041e-002
319	1.3468e-002
320	1.3496e-002
321	1.4152e-002
322	1.4934e-002
323	1.4962e-002
324	1.6201e-002
325	1.5904e-002
326	1.6614e-002
327	1.6923e-002
328	1.7638e-002
329	1.8343e-002
330	1.9481e-002
331	1.9259e-002
332	1.9337e-002
333	1.9482e-002
334	1.8699e-002
335	1.8514e-002
336	1.8545e-002
337	1.7027e-002
338	1.6923e-002
339	1.582e-002
340	1.3946e-002
341	1.362e-002
342	1.2795e-002
343	1.2041e-002
344	1.1988e-002
345	1.1596e-002
346	1.1288e-002
347	1.1369e-002
348	1.0866e-002
349	1.0738e-002
350	1.0276e-002
351	1.0281e-002
352	1.0166e-002
353	1.0108e-002
354	9.9566e-003
355	1.0042e-002
356	1.001e-002
357	9.9614e-003
358	9.9053e-003
359	9.9663e-003
360	9.982e-003
361	1.0017e-002
362	1.006e-002
363	1.0083e-002
364	1.0262e-002
365	1.0339e-002
366	1.0449e-002
367	1.0509e-002
368	1.064e-002
369	1.0652e-002
370	1.0801e-002
371	1.0934e-002
372	1.1068e-002
373	1.1206e-002
374	1.1347e-002
375	1.1493e-002
376	1.1639e-002
377	1.1788e-002
378	1.1937e-002
379	1.2086e-002
380	1.2235e-002
381	1.2385e-002
382	1.2534e-002
383	1.2684e-002
384	1.2833e-002
385	1.2983e-002
386	1.3133e-002
387	1.3283e-002
388	1.3433e-002
389	1.3583e-002
390	1.3732e-002
391	1.3882e-002
392	1.4031e-002
393	1.4182e-002
394	1.433e-002
395	1.4481e-002
396	1.4629e-002
397	1.4782e-002
398	1.4929e-002
399	1.5084e-002
400	1.5229e-002
401	2.0704e-004
402	1.7046e-003
403	1.7767e-003
404	2.7463e-003
405	3.552e-003
406	3.9713e-003
407	4.7227e-003
408	5.1897e-003
409	5.8555e-003
410	7.2454e-003
411	7.9079e-003
412	8.1006e-003
413	9.5644e-003
414	1.0026e-002
415	1.0112e-002
416	1.1025e-002
417	1.2143e-002
418	1.2343e-002
419	1.3604e-002
420	1.4112e-002
421	1.4943e-002
422	1.5504e-002
423	1.5932e-002
