Node Number	LOC_DEFY (m)
1	4.08e-004
2	7.4125e-005
3	3.8746e-004
4	7.3695e-004
5	3.4822e-004
6	2.8502e-004
7	4.4399e-004
8	4.735e-004
9	4.2668e-004
10	7.378e-005
11	1.9719e-004
12	1.6077e-004
13	2.4778e-004
14	7.6473e-004
15	5.0632e-004
16	5.8148e-004
17	2.5689e-005
18	4.6164e-004
19	5.112e-004
20	2.3415e-004
21	-1.e-006
22	1.1408e-004
23	5.9171e-004
24	3.7582e-004
25	6.7322e-004
26	3.1497e-004
27	7.0513e-004
28	3.5593e-004
29	1.665e-004
30	2.3316e-004
31	6.7797e-004
32	4.8871e-004
33	2.0513e-004
34	4.0974e-004
35	1.1303e-004
36	8.8486e-004
37	3.5688e-004
38	2.9202e-005
39	9.3034e-005
40	1.7392e-004
41	4.7249e-005
42	6.8057e-005
43	8.5718e-005
44	4.2306e-005
45	7.3407e-005
46	3.2537e-005
47	4.1019e-005
48	6.9757e-005
49	5.5169e-005
50	6.1247e-005
51	6.2424e-005
52	5.9812e-005
53	4.9304e-005
54	5.085e-005
55	3.8477e-005
56	2.0685e-004
57	1.6697e-004
58	1.1668e-004
59	1.1035e-004
60	1.3273e-004
61	1.4126e-004
62	1.0348e-004
63	5.9078e-005
64	6.6948e-005
65	8.2838e-005
66	1.0026e-004
67	1.0058e-004
68	1.0395e-004
69	1.0541e-004
70	1.0121e-004
71	1.2075e-004
72	6.7049e-005
73	1.0968e-004
74	9.8224e-005
75	8.9421e-005
76	9.2358e-005
77	9.2596e-005
78	9.3361e-005
79	9.3662e-005
80	9.3511e-005
81	9.3877e-005
82	9.3222e-005
83	9.3834e-005
84	9.3111e-005
85	9.3777e-005
86	9.3094e-005
87	9.3791e-005
88	9.3227e-005
89	9.3982e-005
90	9.3599e-005
91	9.4435e-005
92	9.4108e-005
93	9.4844e-005
94	9.4376e-005
95	9.4462e-005
96	9.3781e-005
97	9.309e-005
98	9.2717e-005
99	9.1906e-005
100	9.0745e-005
101	2.1106e-004
102	6.3195e-004
103	4.4274e-004
104	6.8793e-004
105	2.1443e-004
106	2.7494e-004
107	4.6578e-004
108	4.0887e-004
109	4.7188e-004
110	1.173e-004
111	3.0552e-004
112	4.0089e-004
113	8.0238e-004
114	1.0187e-004
115	6.019e-004
116	4.5038e-004
117	2.7504e-004
118	2.6595e-004
119	5.8171e-004
120	6.8122e-004
121	6.3241e-005
122	7.4583e-005
123	2.649e-004
124	9.7274e-005
125	4.742e-005
126	3.6104e-004
127	5.5577e-004
128	3.3369e-004
129	1.5083e-004
130	7.6125e-004
131	8.4299e-004
132	3.9892e-004
133	6.8893e-004
134	2.5622e-004
135	9.6829e-005
136	7.8201e-004
137	1.1307e-004
138	1.6043e-004
139	2.1185e-004
140	1.1103e-004
141	8.2356e-005
142	8.8321e-005
143	8.2634e-005
144	4.7826e-005
145	3.5033e-005
146	8.2236e-005
147	3.8786e-005
148	8.7075e-005
149	8.6895e-005
150	4.1557e-005
151	7.9552e-005
152	6.1308e-005
153	9.1615e-005
154	7.0256e-005
155	5.0683e-005
156	7.5812e-005
157	4.5998e-005
158	7.1726e-005
159	5.4307e-005
160	6.8266e-005
161	4.7068e-005
162	6.6725e-005
163	5.5949e-005
164	6.0898e-005
165	6.0252e-005
166	6.6497e-005
167	6.4637e-005
168	7.2617e-005
169	7.1564e-005
170	9.5826e-005
171	9.0067e-005
172	9.6631e-005
173	9.5274e-005
174	9.5351e-005
175	9.6462e-005
176	9.632e-005
177	9.594e-005
178	9.5348e-005
179	9.5235e-005
180	9.4547e-005
