Node Number	LOC_DEFZ ()
1	-4.6649e-002
2	-4.5623e-002
3	-4.5416e-002
4	-4.4388e-002
5	-4.4223e-002
6	-4.445e-002
7	-4.4705e-002
8	-4.4699e-002
9	-4.4203e-002
10	-4.337e-002
11	-4.3359e-002
12	-4.28e-002
13	-4.2717e-002
14	-4.2028e-002
15	-4.2007e-002
16	-4.1418e-002
17	-4.0755e-002
18	-4.0407e-002
19	-3.9839e-002
20	-3.9292e-002
21	-3.8297e-002
22	-3.8024e-002
23	-3.7577e-002
24	-3.6986e-002
25	-3.6324e-002
26	-3.4518e-002
27	-3.392e-002
28	-3.4185e-002
29	-3.3778e-002
30	-3.323e-002
31	-3.1901e-002
32	-3.208e-002
33	-3.0688e-002
34	-3.0345e-002
35	-2.8462e-002
36	-2.725e-002
37	-2.5308e-002
38	-2.3822e-002
39	-2.3716e-002
40	-2.2433e-002
41	-1.9686e-002
42	-1.8115e-002
43	-1.6619e-002
44	-1.4567e-002
45	-1.3162e-002
46	-1.2574e-002
47	-9.6088e-003
48	-9.4796e-003
49	-7.4451e-003
50	-6.5877e-003
51	-6.2259e-003
52	-6.1154e-003
53	-4.44e-003
54	-3.6088e-003
55	-3.4524e-003
56	-3.2685e-003
57	-3.1424e-003
58	-2.674e-003
59	-2.5958e-003
60	-2.059e-003
61	-2.034e-003
62	-1.7452e-003
63	-1.6793e-003
64	-1.4832e-003
65	-1.4274e-003
66	-1.3446e-003
67	-1.2969e-003
68	-1.2307e-003
69	-1.2047e-003
70	-1.1503e-003
71	-1.1289e-003
72	-9.9568e-004
73	-9.218e-004
74	-7.4386e-004
75	-7.5207e-004
76	-7.3958e-004
77	-7.4064e-004
78	-7.3853e-004
79	-7.3972e-004
80	-7.3966e-004
81	-7.4067e-004
82	-7.4092e-004
83	-7.4173e-004
84	-7.4204e-004
85	-7.4271e-004
86	-7.4309e-004
87	-7.4376e-004
88	-7.4414e-004
89	-7.448e-004
90	-7.4518e-004
91	-7.459e-004
92	-7.4626e-004
93	-7.4719e-004
94	-7.4757e-004
95	-7.4862e-004
96	-7.4872e-004
97	-7.4968e-004
98	-7.4903e-004
99	-7.4978e-004
100	-7.4773e-004
101	-4.6654e-002
102	-4.5958e-002
103	-4.5137e-002
104	-4.4356e-002
105	-4.4402e-002
106	-4.4228e-002
107	-4.4569e-002
108	-4.4376e-002
109	-4.4085e-002
110	-4.37e-002
111	-4.3286e-002
112	-4.2765e-002
113	-4.2366e-002
114	-4.1935e-002
115	-4.1351e-002
116	-4.13e-002
117	-4.0747e-002
118	-4.0589e-002
119	-3.9971e-002
120	-3.9085e-002
121	-3.8801e-002
122	-3.7929e-002
123	-3.7172e-002
124	-3.7241e-002
125	-3.5972e-002
126	-3.4602e-002
127	-3.4141e-002
128	-3.4325e-002
129	-3.3328e-002
130	-3.1945e-002
131	-3.1923e-002
132	-3.0878e-002
133	-3.0521e-002
134	-2.8375e-002
135	-2.7943e-002
136	-2.5624e-002
137	-2.3892e-002
138	-2.3736e-002
139	-2.2427e-002
140	-1.9625e-002
141	-1.802e-002
142	-1.65e-002
143	-1.4512e-002
144	-1.3048e-002
145	-1.2517e-002
146	-9.6273e-003
147	-9.467e-003
148	-7.5324e-003
149	-6.5386e-003
150	-6.4558e-003
151	-6.1912e-003
152	-4.5407e-003
153	-4.5206e-003
154	-3.5493e-003
155	-3.6844e-003
156	-3.1753e-003
157	-3.1162e-003
158	-2.5486e-003
159	-2.4685e-003
160	-1.9645e-003
161	-1.8934e-003
162	-1.7472e-003
163	-1.659e-003
164	-1.3972e-003
165	-1.3024e-003
166	-1.1223e-003
167	-1.0531e-003
168	-9.1333e-004
169	-8.3021e-004
170	-7.2686e-004
171	-6.3637e-004
172	-6.0213e-004
173	-5.9059e-004
174	-5.9289e-004
175	-5.8823e-004
176	-5.8641e-004
177	-5.8796e-004
178	-5.8867e-004
179	-5.9008e-004
180	-5.91e-004
181	-5.9187e-004
182	-5.9256e-004
183	-5.9315e-004
184	-5.9366e-004
185	-5.9419e-004
186	-5.9468e-004
187	-5.9527e-004
188	-5.958e-004
189	-5.9639e-004
190	-5.9687e-004
191	-5.9754e-004
192	-5.9799e-004
193	-5.9878e-004
194	-5.9912e-004
195	-6.0004e-004
196	-6.0012e-004
197	-6.0112e-004
198	-6.0063e-004
199	-6.0188e-004
200	-6.0079e-004
201	-4.6675e-002
202	-4.6365e-002
203	-4.5225e-002
204	-4.4462e-002
205	-4.4531e-002
206	-4.4579e-002
207	-4.4639e-002
208	-4.442e-002
209	-4.408e-002
210	-4.3358e-002
211	-4.3072e-002
212	-4.2693e-002
213	-4.2313e-002
214	-4.197e-002
215	-4.1322e-002
216	-4.1256e-002
217	-4.0525e-002
218	-4.0233e-002
219	-3.9823e-002
220	-3.8834e-002
221	-3.7939e-002
222	-3.7275e-002
223	-3.7227e-002
224	-3.5772e-002
225	-3.4671e-002
226	-3.3847e-002
227	-3.3724e-002
228	-3.3768e-002
229	-3.2099e-002
230	-3.0583e-002
231	-3.0652e-002
232	-2.9059e-002
233	-2.8082e-002
234	-2.6082e-002
235	-2.5989e-002
236	-2.3581e-002
237	-2.2371e-002
238	-1.9573e-002
239	-1.6744e-002
240	-1.6575e-002
241	-1.4594e-002
242	-1.2681e-002
243	-1.0045e-002
244	-9.7502e-003
245	-7.5775e-003
246	-7.5251e-003
247	-6.5617e-003
248	-6.4749e-003
249	-6.2444e-003
250	-6.252e-003
251	-4.6082e-003
252	-4.428e-003
253	-4.4428e-003
254	-3.7776e-003
255	-3.3195e-003
256	-3.2584e-003
257	-2.7195e-003
258	-2.6095e-003
259	-2.4814e-003
260	-1.9899e-003
261	-1.8523e-003
262	-1.616e-003
263	-1.5039e-003
264	-1.3416e-003
265	-1.2755e-003
266	-1.1303e-003
267	-1.018e-003
268	-8.9021e-004
269	-7.9478e-004
270	-6.6555e-004
271	-5.9101e-004
272	-4.3974e-004
273	-4.5856e-004
274	-4.3568e-004
275	-4.4229e-004
276	-4.3819e-004
277	-4.388e-004
278	-4.3811e-004
279	-4.3916e-004
280	-4.3969e-004
281	-4.4062e-004
282	-4.4123e-004
283	-4.4191e-004
284	-4.4244e-004
285	-4.4304e-004
286	-4.4359e-004
287	-4.4418e-004
288	-4.4478e-004
289	-4.4536e-004
290	-4.4585e-004
291	-4.4652e-004
292	-4.4698e-004
293	-4.4765e-004
294	-4.4806e-004
295	-4.488e-004
296	-4.4907e-004
297	-4.4975e-004
298	-4.4979e-004
299	-4.5049e-004
300	-4.5019e-004
301	-4.6805e-002
302	-4.5476e-002
303	-4.5203e-002
304	-4.4476e-002
305	-4.4123e-002
306	-4.4662e-002
307	-4.4675e-002
308	-4.4275e-002
309	-4.4026e-002
310	-4.311e-002
311	-4.2922e-002
312	-4.2584e-002
313	-4.2408e-002
314	-4.1816e-002
315	-4.1146e-002
316	-4.0599e-002
317	-4.0309e-002
318	-3.9865e-002
319	-3.8819e-002
320	-3.7937e-002
321	-3.7021e-002
322	-3.6097e-002
323	-3.5751e-002
324	-3.4335e-002
325	-3.3443e-002
326	-3.3724e-002
327	-3.3128e-002
328	-3.1848e-002
329	-3.0586e-002
330	-2.895e-002
331	-2.8004e-002
332	-2.6176e-002
333	-2.5614e-002
334	-2.4028e-002
335	-2.2493e-002
336	-1.9493e-002
337	-1.6685e-002
338	-1.4819e-002
339	-1.3102e-002
340	-9.6873e-003
341	-9.4595e-003
342	-7.4407e-003
343	-6.6008e-003
344	-6.4545e-003
345	-6.3051e-003
346	-4.7344e-003
347	-4.869e-003
348	-4.03e-003
349	-3.8203e-003
350	-3.167e-003
351	-2.8574e-003
352	-2.8202e-003
353	-2.9707e-003
354	-2.7571e-003
355	-2.7421e-003
356	-2.6183e-003
357	-2.0084e-003
358	-1.9828e-003
359	-1.8409e-003
360	-1.7289e-003
361	-1.6554e-003
362	-1.5123e-003
363	-1.4105e-003
364	-9.6216e-004
365	-9.0838e-004
366	-7.326e-004
367	-6.5493e-004
368	-5.0013e-004
369	-4.2062e-004
370	-2.8881e-004
371	-3.2892e-004
372	-3.1939e-004
373	-2.757e-004
374	-2.9013e-004
375	-2.8401e-004
376	-2.8713e-004
377	-2.8681e-004
378	-2.8857e-004
379	-2.8931e-004
380	-2.9045e-004
381	-2.9131e-004
382	-2.9208e-004
383	-2.9281e-004
384	-2.9346e-004
385	-2.9414e-004
386	-2.9476e-004
387	-2.9534e-004
388	-2.959e-004
389	-2.9643e-004
390	-2.9699e-004
391	-2.9751e-004
392	-2.9805e-004
393	-2.9865e-004
394	-2.9908e-004
395	-2.9972e-004
396	-3.e-004
397	-3.0068e-004
398	-3.0086e-004
399	-3.0153e-004
400	-3.0187e-004
401	-4.6636e-002
402	-4.554e-002
403	-4.5132e-002
404	-4.4732e-002
405	-4.4553e-002
406	-4.4813e-002
407	-4.4659e-002
408	-4.4235e-002
409	-4.4012e-002
410	-4.314e-002
411	-4.2651e-002
412	-4.2957e-002
413	-4.1779e-002
414	-4.1285e-002
415	-4.1262e-002
416	-4.062e-002
417	-3.9863e-002
418	-3.9103e-002
419	-3.7888e-002
420	-3.715e-002
421	-3.6164e-002
422	-3.465e-002
423	-3.3749e-002
424	-3.3572e-002
425	-3.5013e-002
426	-3.301e-002
427	-3.1744e-002
428	-3.0865e-002
429	-3.0072e-002
430	-2.5888e-002
431	-2.5585e-002
432	-2.3524e-002
433	-2.2478e-002
434	-1.8222e-002
435	-1.4814e-002
436	-1.4609e-002
437	-1.2701e-002
438	-9.6749e-003
439	-7.3493e-003
440	-5.5506e-003
441	-4.798e-003
442	-4.5069e-003
443	-3.0057e-003
444	-3.9066e-003
445	-3.1974e-003
446	-1.9997e-003
447	-2.538e-003
448	-2.5798e-003
449	-1.9421e-003
450	-1.8748e-003
451	-1.5914e-003
452	-1.4558e-003
453	-1.5826e-003
454	-1.0421e-003
455	-1.4486e-003
456	-1.0611e-003
457	-1.2119e-003
458	-1.1694e-003
459	-1.1467e-003
460	-1.0633e-003
461	-1.0281e-003
462	-1.023e-003
463	-9.8648e-004
464	-9.1351e-004
465	-8.2636e-004
466	-7.2577e-004
467	-6.3885e-004
468	-5.0215e-004
469	-4.3558e-004
470	-1.7157e-004
471	-1.9632e-004
472	-1.0449e-004
